icao,site,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,wind_dir_deg,wind_kts,gust_kts,vis_sm,altimeter_hpa,raw_text,fetched_at_utc,fetched_at_local,site_name,site_lat,site_lon,country,region
CBBC,"Bella Bella Arpt, BC, CA",2025-09-26T17:00:00Z,2025-09-26 10:00:00,MVFR,11,9,140,13,20,4,1009.9,METAR CBBC 261700Z AUTO 14013G20KT 4SM RA BR SCT029 OVC038 11/09 A2982 RMK PCPN 2.8MM PAST HR SLP100,2025-09-26T17:17:04Z,2025-09-26T13:17:04Z,Bella Bella (Campbell Island) Airport,52.185001,-128.156994,CA,CA-BC
CWJC,"Ennadai Lake(MAPS), NU, CA",2025-09-26T17:00:00Z,2025-09-26 17:00:00,NA,9.5,6.8,VAR,NA,0,NA,NA,METAR CWJC 261700Z AUTO 10/07 RMK AO1 17 7014 SLP025 T00950068,2025-09-26T17:17:29Z,2025-09-26T13:17:29Z,Ennadai Lake Airport,61.1333333333,-100.9,CA,CA-NU
CYAH,"La Grande IV Arpt, QC, CA",2025-09-26T17:00:00Z,2025-09-26 13:00:00,VFR,6,2,240,22,33,9,995,METAR CYAH 261700Z AUTO 24022G33KT 9SM -RA SCT027 OVC037 06/02 A2938 RMK SLP961,2025-09-26T17:17:29Z,2025-09-26T13:17:29Z,La Grande-4 Airport,53.754699707,-73.6753005981,CA,CA-QC
CYAH,"La Grande IV Arpt, QC, CA",2025-09-26T17:33:00Z,2025-09-26 13:33:00,MVFR,5,2,260,15,28,9,995,SPECI CYAH 261733Z AUTO 26015G28KT 9SM -RA BKN020 BKN027 BKN035 OVC041 05/02 A2938 RMK PCPN 0.5MM PAST HR SLP965,2025-09-26T17:34:34Z,2025-09-26T13:34:34Z,La Grande-4 Airport,53.754699707,-73.6753005981,CA,CA-QC
CYAM,"Sault Ste Marie Arpt, ON, CA",2025-09-26T17:00:00Z,2025-09-26 13:00:00,VFR,17,10,270,10,0,25,1013.3,METAR CYAM 261700Z 27010KT 25SM FEW014 FEW039 FEW100 FEW220 17/10 A2992 RMK CU1SC1AC1CI1 CU TR SC TR SLP138 DENSITY ALT 1100FT,2025-09-26T17:17:29Z,2025-09-26T13:17:29Z,Sault Ste Marie Airport,46.483216,-84.508467,CA,CA-ON
CYAS,"Kangirsuk Arpt, QC, CA",2025-09-26T17:00:00Z,2025-09-26 13:00:00,LIFR,3,3,40,27,35,8,985.9,METAR CYAS 261700Z 04027G35KT 8SM -RA OVC004 03/03 A2911 RMK ST8 VIS LWR N SLP868,2025-09-26T17:17:29Z,2025-09-26T13:17:29Z,Kangirsuk Airport,60.027199,-69.999199,CA,CA-QC
CYAT,"Attawapisket Arpt, ON, CA",2025-09-26T17:00:00Z,2025-09-26 13:00:00,VFR,10,5,300,12,20,9,1008.9,METAR CYAT 261700Z AUTO 30012G20KT 9SM SCT030 BKN037 OVC044 10/05 A2979 RMK SLP090,2025-09-26T17:17:29Z,2025-09-26T13:17:29Z,Attawapiskat Airport,52.927502,-82.4319,CA,CA-ON
CYAW,"Shearwater(AFB), NS, CA",2025-09-26T17:00:00Z,2025-09-26 17:00:00,MVFR,23,19,230,10,0,15,1003.1,METAR CYAW 261700Z 23010KT 15SM BKN020 BKN100 BKN250 23/19 A2962 RMK SC5AC1CI1 DENSITY ALT 1744FT WIND EST SLP029,2025-09-26T17:17:29Z,2025-09-26T13:17:29Z,CFB Shearwater Heliport,44.636782,-63.502107,CA,CA-NS
CYAY,"St Anthony Arpt, NL, CA",2025-09-26T17:10:00Z,2025-09-26 14:40:00,IFR,11,10,120,15,21,7,995.7,SPECI CYAY 261710Z AUTO 12015G21KT 7SM -RA BKN008 OVC035 11/10 A2940 RMK PRESFR SLP959,2025-09-26T17:17:29Z,2025-09-26T13:17:29Z,St. Anthony Airport,51.391909,-56.08321,CA,CA-NL
CYAY,"St Anthony Arpt, NL, CA",2025-09-26T17:33:00Z,2025-09-26 15:03:00,IFR,10,10,130,13,19,7,995,SPECI CYAY 261733Z AUTO 13013G19KT 7SM -RA OVC006 10/10 A2938 RMK PCPN 1.0MM PAST HR SLP953,2025-09-26T17:34:34Z,2025-09-26T13:34:34Z,St. Anthony Airport,51.391909,-56.08321,CA,CA-NL
CYAZ,"Tofino Arpt, BC, CA",2025-09-26T17:08:00Z,2025-09-26 10:08:00,LIFR,14,13,150,4,0,2,1020.4,SPECI CYAZ 261708Z 15004KT 100V160 2SM BR BKN003 OVC023 14/13 A3013 RMK SF5SC3 SLP204,2025-09-26T17:17:29Z,2025-09-26T13:17:29Z,Tofino / Long Beach Airport,49.079833,-125.775583,CA,CA-BC
CYAZ,"Tofino Arpt, BC, CA",2025-09-26T17:26:00Z,2025-09-26 10:26:00,MVFR,14,14,130,5,0,4,1020.1,SPECI CYAZ 261726Z 13005KT 4SM BR FEW004 BKN020 OVC090 14/14 A3012 RMK SF2SC4AC2 VIS LWR W SLP203,2025-09-26T17:34:34Z,2025-09-26T13:34:34Z,Tofino / Long Beach Airport,49.079833,-125.775583,CA,CA-BC
CYBB,"Pelly Bay/Kugaaruk Arpt, NU, CA",2025-09-26T17:00:00Z,2025-09-26 11:00:00,VFR,2,0,230,10,0,15,1006.2,METAR CYBB 261700Z 23010KT 15SM FEW008 02/00 A2971 RMK SF1 SF TR SLP065,2025-09-26T17:17:29Z,2025-09-26T13:17:29Z,Kugaaruk Airport,68.535711,-89.805508,CA,CA-NU
CYBC,"Baie Comeau Arpt, QC, CA",2025-09-26T17:00:00Z,2025-09-26 13:00:00,VFR,17,11,290,7,0,9,1000.4,METAR CYBC 261700Z AUTO 29007KT 9SM SCT041 OVC050 17/11 A2954 RMK SLP004 DENSITY ALT 800FT,2025-09-26T17:17:29Z,2025-09-26T13:17:29Z,Baie-Comeau Airport,49.1325,-68.204399,CA,CA-QC
CYBD,"Bella Coola Arpt, BC, CA",2025-09-26T17:00:00Z,2025-09-26 10:00:00,VFR,10,9,310,9,0,8,1011.9,METAR CYBD 261700Z 31009KT 270V330 8SM -RA FEW018 OVC065 10/09 A2988 RMK SC2SC6 SLP122,2025-09-26T17:17:29Z,2025-09-26T13:17:29Z,Bella Coola Airport,52.387501,-126.596001,CA,CA-BC
CYBG,"Bagotville(MIL), QC, CA",2025-09-26T17:00:00Z,2025-09-26 13:00:00,VFR,16,9,300,15,21,25,1005.5,METAR CYBG 261700Z 30015G21KT 25SM SCT030 BKN240 16/09 A2969 RMK SC3CI2 DENSITY ALT 1213FT SLP056,2025-09-26T17:17:31Z,2025-09-26T13:17:31Z,CFB Bagotville / Saguenay-Bagotville Airport,48.331908,-70.992909,CA,CA-QC
CYBK,"Baker Lake Arpt, NU, CA",2025-09-26T17:00:00Z,2025-09-26 12:00:00,MVFR,4,1,150,12,0,20,1006.9,METAR CYBK 261700Z 15012KT 20SM BKN010 OVC018 04/01 A2973 RMK SC7SC1 SLP072,2025-09-26T17:17:30Z,2025-09-26T13:17:30Z,Baker Lake Airport,64.29889678960001,-96.077796936,CA,CA-NU
CYBL,"Campbell River Arpt, BC, CA",2025-09-26T17:00:00Z,2025-09-26 10:00:00,MVFR,10,9,0,0,0,15,1019.7,METAR CYBL 261700Z 00000KT 15SM FEW008 BKN012 OVC100 10/09 A3011 RMK SF1SC7AC1 SF TR SLP202,2025-09-26T17:17:31Z,2025-09-26T13:17:31Z,Campbell River Airport,49.950802,-125.271004,CA,CA-BC
CYBQ,"Tadoule Lake Arpt, MB, CA",2025-09-26T17:00:00Z,2025-09-26 12:00:00,VFR,11,7,160,7,0,9,1004.1,METAR CYBQ 261700Z AUTO 16007KT 9SM CLR 11/07 A2965 RMK SLP054,2025-09-26T17:17:30Z,2025-09-26T13:17:30Z,Tadoule Lake Airport,58.706308,-98.511057,CA,CA-MB
CYBR,"Brandon Arpt, MB, CA",2025-09-26T17:00:00Z,2025-09-26 12:00:00,VFR,19,9,150,15,30,15,1003.1,METAR CYBR 261700Z 15015G30KT 15SM FEW250 19/09 A2962 RMK CI2 SLP042 DENSITY ALT 2500FT,2025-09-26T17:17:30Z,2025-09-26T13:17:30Z,Brandon Municipal Airport,49.91,-99.951897,CA,CA-MB
CYBU,"Nipawin(AUTO), SK, CA",2025-09-26T17:00:00Z,2025-09-26 17:00:00,VFR,15,7,240,14,0,9,996,METAR CYBU 261700Z AUTO 24014KT 9SM CLR 15/07 A2941 RMK SLP970 DENSITY ALT 2100FT,2025-09-26T17:17:30Z,2025-09-26T13:17:30Z,Nipawin Airport,53.33250045776367,-104.00800323486328,CA,CA-SK
